delay,freq,condition,,textbox.text,,,,,,,
0.1,1000,exp,,200,,,,,,,
0.7,1000,exp,,300,,,,,,,
0.1,400,unexp,,100,,,,,,,
0.7,1000,exp,,429,,,,,,,
0.4,400,unexp,,"267
",,,,,,,
0.4,1000,exp,,345,,Mean of expected=,,320.3409091,,,
0.4,1000,exp,,350,,,,,,,
0.1,1000,exp,,145,,Mean of unexpected,,295.2857143,,,
0.4,1000,exp,,298,,,,,,,
0.7,1000,exp,,457,,Diff. btwn freq of expected and unexpected mean=,,,,,25.05519481
0.7,400,unexp,,489,,,,,,,
0.1,1000,exp,,288,,,,,,,
0.1,1000,exp,,267,,,,,,,
0.7,400,unexp,,278,,,,,,,
0.1,1000,exp,,223,,,,,,,
0.7,1000,exp,,465,,,,,,,
0.1,1000,exp,,278,,,,,,,
0.4,1000,exp,,456,,,,,,,
0.7,1000,exp,,588,,,,,,,
0.7,1000,exp,,322,,,,,,,
0.4,1000,exp,,377,,,,,,,
0.4,1000,exp,,288,,,,,,,
0.4,400,unexp,,498,,,,,,,
0.1,400,unexp,,265,,,,,,,
0.4,1000,exp,,323,,,,,,,
0.4,1000,exp,,389,,,,,,,
0.1,1000,exp,,309,,,,,,,
0.7,400,unexp,,323,,,,,,,
0.7,1000,exp,,304,,,,,,,
0.4,400,unexp,,222,,,,,,,
0.7,1000,exp,,455,,,,,,,
0.1,1000,exp,,178,,,,,,,
0.7,1000,exp,,222,,,,,,,
0.4,1000,exp,,"267
",,,,,,,
0.1,1000,exp,,334,,,,,,,
0.1,400,unexp,,298,,,,,,,
0.7,1000,exp,,367,,,,,,,
0.7,1000,exp,,312,,,,,,,
0.7,400,unexp,,298,,,,,,,
0.4,400,unexp,,209,,,,,,,
0.1,1000,exp,,355,,,,,,,
0.1,1000,exp,,322,,,,,,,
0.4,1000,exp,,367,,,,,,,
0.4,1000,exp,,245,,,,,,,
0.4,1000,exp,,209,,,,,,,
0.1,1000,exp,,123,,,,,,,
0.7,1000,exp,,276,,,,,,,
0.1,400,unexp,,323,,,,,,,
0.7,1000,exp,,434,,,,,,,
0.4,1000,exp,,398,,,,,,,
0.7,400,unexp,,334,,,,,,,
0.4,400,unexp,,276,,,,,,,
0.1,1000,exp,,454,,,,,,,
0.1,1000,exp,,323,,,,,,,
0.1,400,unexp,,221,,,,,,,
0.4,1000,exp,,356,,,,,,,
0.7,1000,exp,,109,,,,,,,
0.7,1000,exp,,323,,,,,,,
0.1,1000,exp,,298,,,,,,,
0.4,1000,exp,,234,,,,,,,
